,Código de país,Clave_Hash,Nombre del país,Región
1,ABW,98,Aruba,América Latina y Caribe
2,AND,51,Andorra,Europa y Asia Central
3,AFG,6,Afganistán,Sur de Asia
4,AGO,45,Angola,África subsahariana
5,ALB,87,Albania,Europa y Asia Central
6,ARE,76,Emiratos Árabes Unidos,Oriente Medio y Norte de África
7,ARG,78,Argentina,América Latina y Caribe
8,ARM,84,Armenia,Europa y Asia Central
9,ATG,40,Antigua y Barbuda,América Latina y Caribe
10,AUS,83,Australia,Asia Oriental y Asia-Pacífico
11,AUT,84,Austria,Europa y Asia Central
12,AZE,24,Azerbaiyán,Europa y Asia Central
13,BDI,7,Burundi,África subsahariana
14,BEL,41,Bélgica,Europa y Asia Central
15,BEN,43,Benín,África subsahariana
16,BFA,61,Burkina Faso,África subsahariana
17,BGD,95,Bangladés,Sur de Asia
18,BGR,9,Bulgaria,Europa y Asia Central
19,BHR,40,Baréin,Oriente Medio y Norte de África
20,BHS,41,Bahamas,América Latina y Caribe
21,BIH,61,Bosnia y Herzegovina,Europa y Asia Central
22,BLR,64,Bielorrusia,Europa y Asia Central
23,BLZ,72,Belice,América Latina y Caribe
24,BMU,98,Bermudas,Norteamérica
25,BOL,51,Bolivia,América Latina y Caribe
26,BRA,33,Brasil,América Latina y Caribe
27,BRB,34,Barbados,América Latina y Caribe
28,BRN,46,Brunéi,Asia Oriental y Asia-Pacífico
29,BTN,8,Bután,Sur de Asia
30,BWA,88,Botsuana,África subsahariana
31,CAF,72,República Centroafricana,África subsahariana
32,CAN,80,Canadá,Norteamérica
33,CHE,88,Suiza,Europa y Asia Central
34,CHL,95,Chile,América Latina y Caribe
35,CHN,97,China,Asia Oriental y Asia-Pacífico
36,CIV,36,Costa de Marfil,África subsahariana
37,CMR,56,Camerún,África subsahariana
38,COG,7,Congo (República),África subsahariana
39,COL,12,Colombia,América Latina y Caribe
40,COM,13,Comoras,África subsahariana
41,CPV,53,Cabo Verde,África subsahariana
42,CRI,2,Costa Rica,América Latina y Caribe
43,CUB,88,Cuba,América Latina y Caribe
44,CYM,23,Islas Caimán,América Latina y Caribe
